Interval,Max_Velocity,Acceleration,Collision_Distance
0,81.862625,67.73932,18.667458
0,85.844574,72.95355,22.104542
1,63.480408,64.31312,18.96847
2,80.86672,63.414745,21.07711
3,80.34353,62.165234,19.186123
3,80.77541,64.84518,19.548218
4,82.13951,88.12642,21.141537
5,82.302315,80.31538,20.483253
6,82.39947,51.92459,13.877926
6,82.57006,62.849545,16.087662
7,83.779724,58.234882,15.894647
8,82.200836,59.316586,15.885696
9,85.665146,45.178368,14.001183
9,78.56384,65.40722,16.698631
10,84.048775,57.822155,17.228333
11,82.4723,66.17798,22.13596
12,80.414734,74.55054,13.939278
12,84.82259,69.79541,20.8083
13,84.74105,56.856773,18.339312
14,80.60542,32.40327,19.501114
15,87.8508,58.349365,22.604702
15,70.65462,59.79484,17.913208
16,77.03867,61.132008,14.793156
17,74.111694,70.69272,19.404495
18,79.87896,68.91091,15.1185
18,81.14468,67.60124,18.572767
19,77.41552,64.47652,17.235151
20,79.14726,41.42823,19.529354
21,86.68198,32.717503,16.806274
21,81.64551,43.039707,19.737011
22,82.267044,37.175247,17.631378
23,90.0,64.534424,13.34318
24,74.350235,69.201645,12.338388
24,78.845566,68.575485,21.951092
25,78.449585,48.513657,14.722189
26,73.627655,59.92227,15.246579
27,87.80013,57.133137,20.847342
27,87.5007,38.349556,15.45643
28,79.91996,54.86618,21.401138
0,81.862625,67.73932,18.667458
0,90.0,71.83276,18.61499
0,81.862625,67.73932,18.667458
0,90.0,71.83276,18.61499
1,84.56008,76.6203,19.434597
0,81.862625,67.73932,18.667458
0,90.0,71.83276,18.61499
1,84.56008,76.6203,19.434597
2,84.2841,84.99895,19.375282
0,81.862625,67.73932,18.667458
0,90.0,71.83276,18.61499
1,84.56008,76.6203,19.434597
2,84.2841,84.99895,19.375282
3,90.0,68.15821,16.696371
3,76.60521,64.195786,15.076481
0,81.862625,67.73932,18.667458
0,90.0,71.83276,18.61499
1,84.56008,76.6203,19.434597
2,84.2841,84.99895,19.375282
3,90.0,68.15821,16.696371
3,76.60521,64.195786,15.076481
4,73.23418,72.950645,16.76757
0,81.862625,67.73932,18.667458
0,90.0,71.83276,18.61499
1,84.56008,76.6203,19.434597
2,84.2841,84.99895,19.375282
3,90.0,68.15821,16.696371
3,76.60521,64.195786,15.076481
4,73.23418,72.950645,16.76757
5,82.66896,59.669197,26.268715
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
9,90.0,70.93696,19.705769
9,87.73094,77.36413,19.322504
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
9,90.0,70.93696,19.705769
9,87.73094,77.36413,19.322504
10,90.0,55.54905,21.42107
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
9,90.0,70.93696,19.705769
9,87.73094,77.36413,19.322504
10,90.0,55.54905,21.42107
11,84.400505,69.59921,21.533962
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
9,90.0,70.93696,19.705769
9,87.73094,77.36413,19.322504
10,90.0,55.54905,21.42107
11,84.400505,69.59921,21.533962
12,88.903496,66.25825,22.178223
12,89.81506,57.391678,17.848104
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
9,90.0,70.93696,19.705769
9,87.73094,77.36413,19.322504
10,90.0,55.54905,21.42107
11,84.400505,69.59921,21.533962
12,88.903496,66.25825,22.178223
12,89.81506,57.391678,17.848104
13,89.1156,58.759747,14.48126
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
9,90.0,70.93696,19.705769
9,87.73094,77.36413,19.322504
10,90.0,55.54905,21.42107
11,84.400505,69.59921,21.533962
12,88.903496,66.25825,22.178223
12,89.81506,57.391678,17.848104
13,89.1156,58.759747,14.48126
14,89.66222,71.9411,18.732868
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
9,90.0,70.93696,19.705769
9,87.73094,77.36413,19.322504
10,90.0,55.54905,21.42107
11,84.400505,69.59921,21.533962
12,88.903496,66.25825,22.178223
12,89.81506,57.391678,17.848104
13,89.1156,58.759747,14.48126
14,89.66222,71.9411,18.732868
15,76.22387,71.16698,21.687046
15,77.0138,32.121532,19.231464
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
9,90.0,70.93696,19.705769
9,87.73094,77.36413,19.322504
10,90.0,55.54905,21.42107
11,84.400505,69.59921,21.533962
12,88.903496,66.25825,22.178223
12,89.81506,57.391678,17.848104
13,89.1156,58.759747,14.48126
14,89.66222,71.9411,18.732868
15,76.22387,71.16698,21.687046
15,77.0138,32.121532,19.231464
16,74.88215,59.331993,16.784815
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
9,90.0,70.93696,19.705769
9,87.73094,77.36413,19.322504
10,90.0,55.54905,21.42107
11,84.400505,69.59921,21.533962
12,88.903496,66.25825,22.178223
12,89.81506,57.391678,17.848104
13,89.1156,58.759747,14.48126
14,89.66222,71.9411,18.732868
15,76.22387,71.16698,21.687046
15,77.0138,32.121532,19.231464
16,74.88215,59.331993,16.784815
17,77.09743,68.00573,21.801186
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
9,90.0,70.93696,19.705769
9,87.73094,77.36413,19.322504
10,90.0,55.54905,21.42107
11,84.400505,69.59921,21.533962
12,88.903496,66.25825,22.178223
12,89.81506,57.391678,17.848104
13,89.1156,58.759747,14.48126
14,89.66222,71.9411,18.732868
15,76.22387,71.16698,21.687046
15,77.0138,32.121532,19.231464
16,74.88215,59.331993,16.784815
17,77.09743,68.00573,21.801186
18,80.54654,63.83062,22.38337
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
9,90.0,70.93696,19.705769
9,87.73094,77.36413,19.322504
10,90.0,55.54905,21.42107
11,84.400505,69.59921,21.533962
12,88.903496,66.25825,22.178223
12,89.81506,57.391678,17.848104
13,89.1156,58.759747,14.48126
14,89.66222,71.9411,18.732868
15,76.22387,71.16698,21.687046
15,77.0138,32.121532,19.231464
16,74.88215,59.331993,16.784815
17,77.09743,68.00573,21.801186
18,80.54654,63.83062,22.38337
19,85.291,56.580757,19.149109
19,71.63823,53.60266,25.20176
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
9,90.0,70.93696,19.705769
9,87.73094,77.36413,19.322504
10,90.0,55.54905,21.42107
11,84.400505,69.59921,21.533962
12,88.903496,66.25825,22.178223
12,89.81506,57.391678,17.848104
13,89.1156,58.759747,14.48126
14,89.66222,71.9411,18.732868
15,76.22387,71.16698,21.687046
15,77.0138,32.121532,19.231464
16,74.88215,59.331993,16.784815
17,77.09743,68.00573,21.801186
18,80.54654,63.83062,22.38337
19,85.291,56.580757,19.149109
19,71.63823,53.60266,25.20176
20,82.43394,51.990448,20.099926
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
9,90.0,70.93696,19.705769
9,87.73094,77.36413,19.322504
10,90.0,55.54905,21.42107
11,84.400505,69.59921,21.533962
12,88.903496,66.25825,22.178223
12,89.81506,57.391678,17.848104
13,89.1156,58.759747,14.48126
14,89.66222,71.9411,18.732868
15,76.22387,71.16698,21.687046
15,77.0138,32.121532,19.231464
16,74.88215,59.331993,16.784815
17,77.09743,68.00573,21.801186
18,80.54654,63.83062,22.38337
19,85.291,56.580757,19.149109
19,71.63823,53.60266,25.20176
20,82.43394,51.990448,20.099926
21,77.49949,57.879833,19.888615
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
9,90.0,70.93696,19.705769
9,87.73094,77.36413,19.322504
10,90.0,55.54905,21.42107
11,84.400505,69.59921,21.533962
12,88.903496,66.25825,22.178223
12,89.81506,57.391678,17.848104
13,89.1156,58.759747,14.48126
14,89.66222,71.9411,18.732868
15,76.22387,71.16698,21.687046
15,77.0138,32.121532,19.231464
16,74.88215,59.331993,16.784815
17,77.09743,68.00573,21.801186
18,80.54654,63.83062,22.38337
19,85.291,56.580757,19.149109
19,71.63823,53.60266,25.20176
20,82.43394,51.990448,20.099926
21,77.49949,57.879833,19.888615
22,71.97735,42.806854,18.958254
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
9,90.0,70.93696,19.705769
9,87.73094,77.36413,19.322504
10,90.0,55.54905,21.42107
11,84.400505,69.59921,21.533962
12,88.903496,66.25825,22.178223
12,89.81506,57.391678,17.848104
13,89.1156,58.759747,14.48126
14,89.66222,71.9411,18.732868
15,76.22387,71.16698,21.687046
15,77.0138,32.121532,19.231464
16,74.88215,59.331993,16.784815
17,77.09743,68.00573,21.801186
18,80.54654,63.83062,22.38337
19,85.291,56.580757,19.149109
19,71.63823,53.60266,25.20176
20,82.43394,51.990448,20.099926
21,77.49949,57.879833,19.888615
22,71.97735,42.806854,18.958254
23,71.84348,61.30419,19.336042
23,83.390854,51.757156,17.860485
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
9,90.0,70.93696,19.705769
9,87.73094,77.36413,19.322504
10,90.0,55.54905,21.42107
11,84.400505,69.59921,21.533962
12,88.903496,66.25825,22.178223
12,89.81506,57.391678,17.848104
13,89.1156,58.759747,14.48126
14,89.66222,71.9411,18.732868
15,76.22387,71.16698,21.687046
15,77.0138,32.121532,19.231464
16,74.88215,59.331993,16.784815
17,77.09743,68.00573,21.801186
18,80.54654,63.83062,22.38337
19,85.291,56.580757,19.149109
19,71.63823,53.60266,25.20176
20,82.43394,51.990448,20.099926
21,77.49949,57.879833,19.888615
22,71.97735,42.806854,18.958254
23,71.84348,61.30419,19.336042
23,83.390854,51.757156,17.860485
24,86.747574,79.333984,23.365406
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
9,90.0,70.93696,19.705769
9,87.73094,77.36413,19.322504
10,90.0,55.54905,21.42107
11,84.400505,69.59921,21.533962
12,88.903496,66.25825,22.178223
12,89.81506,57.391678,17.848104
13,89.1156,58.759747,14.48126
14,89.66222,71.9411,18.732868
15,76.22387,71.16698,21.687046
15,77.0138,32.121532,19.231464
16,74.88215,59.331993,16.784815
17,77.09743,68.00573,21.801186
18,80.54654,63.83062,22.38337
19,85.291,56.580757,19.149109
19,71.63823,53.60266,25.20176
20,82.43394,51.990448,20.099926
21,77.49949,57.879833,19.888615
22,71.97735,42.806854,18.958254
23,71.84348,61.30419,19.336042
23,83.390854,51.757156,17.860485
24,86.747574,79.333984,23.365406
25,85.542595,60.91127,25.593132
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
6,90.0,83.169754,21.935843
6,77.38211,74.698616,18.655313
7,78.77195,81.80992,18.19269
8,90.0,40.55376,17.635303
9,90.0,70.93696,19.705769
9,87.73094,77.36413,19.322504
10,90.0,55.54905,21.42107
11,84.400505,69.59921,21.533962
12,88.903496,66.25825,22.178223
12,89.81506,57.391678,17.848104
13,89.1156,58.759747,14.48126
14,89.66222,71.9411,18.732868
15,76.22387,71.16698,21.687046
15,77.0138,32.121532,19.231464
16,74.88215,59.331993,16.784815
17,77.09743,68.00573,21.801186
18,80.54654,63.83062,22.38337
19,85.291,56.580757,19.149109
19,71.63823,53.60266,25.20176
20,82.43394,51.990448,20.099926
21,77.49949,57.879833,19.888615
22,71.97735,42.806854,18.958254
23,71.84348,61.30419,19.336042
23,83.390854,51.757156,17.860485
24,86.747574,79.333984,23.365406
25,85.542595,60.91127,25.593132
26,83.0603,54.78775,24.203999
0,81.862625,67.73932,18.667458
0,83.86751,80.27698,14.23946
1,73.941986,71.00129,19.165064
2,90.0,79.53235,19.484951
3,84.99144,62.73006,20.968206
3,85.72017,70.258896,20.925104
4,84.54579,39.814663,15.807379
5,73.74681,65.057785,12.276621
