Interval,Max_Velocity,Acceleration,Collision_Distance
0,81.131355,61.672626,19.724174
1,90.0,76.89718,21.292326
2,89.04585,45.14659,20.22659
3,75.95502,64.49932,12.0
3,82.313095,54.050663,19.388437
4,87.13436,93.634735,12.993449
5,63.352547,63.766315,13.084102
6,90.0,64.753525,21.910725
6,50.33883,100.0,18.139843
7,90.0,75.97857,15.88565
8,87.33393,25.0,14.168533
9,90.0,35.156338,12.0
9,90.0,100.0,12.0
10,83.91923,57.08354,14.626278
11,69.11447,52.17856,26.082603
12,78.89494,75.25169,22.561523
12,84.48906,100.0,16.150452
13,87.40636,57.907482,12.0
14,87.67402,51.667747,21.360756
14,87.16197,96.12231,19.826756
15,83.17783,79.85195,29.296326
16,80.12934,64.33893,24.285793
16,69.68854,86.482735,23.630558
17,84.4431,82.93831,21.580296
18,90.0,86.38295,12.0
19,90.0,80.896225,20.211477
19,68.12509,100.0,12.0
20,90.0,100.0,21.265207
21,69.18338,25.0,20.049091
22,85.24597,58.53561,12.0
22,82.91673,77.937706,17.291922
23,90.0,92.13589,20.130533
24,90.0,95.183685,22.481777
25,90.0,70.0078,23.77679
25,90.0,67.76617,17.482428
26,64.458374,87.758896,12.0
27,73.35796,80.98126,19.714638
28,89.94859,71.77116,21.66901
28,69.40994,71.783356,21.14557
29,76.17987,89.466705,13.517025
30,90.0,81.313614,15.517183
31,75.32977,68.18349,16.58189
31,90.0,95.45392,13.106535
32,72.420944,78.71129,13.48999
33,80.6075,62.764664,15.828642
34,86.52283,96.92651,15.862688
34,88.929306,69.11451,12.0
35,67.64353,58.440773,13.047579
36,90.0,80.41951,15.100832
36,84.02432,100.0,18.199575
37,90.0,100.0,16.0166
38,76.30522,60.14469,18.654392
39,75.15749,83.85269,20.84531
39,85.62423,52.03896,13.205045
40,78.45678,63.53157,13.806572
41,69.00531,58.827023,12.0
42,83.120415,85.27303,15.915861
42,89.71389,96.31956,22.864622
43,80.05238,68.803444,14.673439
44,87.20483,67.73238,15.105149
45,78.36299,87.94641,16.550667
45,78.84636,100.0,14.661362
46,62.453514,68.42247,20.492857
47,90.0,74.02809,25.591385
48,90.0,90.72408,20.762457
48,68.052,100.0,12.833533
49,64.1109,78.57269,24.969894
50,79.313995,84.14264,16.356441
50,75.59705,52.60912,14.4556265
51,89.659645,50.014442,12.002494
52,88.33055,54.214046,14.411081
53,85.170364,99.17345,13.413891
53,82.69311,44.69291,12.0
54,58.036606,45.360954,21.473583
55,79.38234,100.0,12.0
55,65.53994,65.18607,18.683949
56,90.0,70.80454,24.696907
57,71.21597,81.42282,24.166058
58,64.192154,89.43011,12.602733
58,80.507996,92.79886,13.456244
59,73.8187,32.348827,12.0
60,75.68577,70.06243,16.986124
61,78.50409,65.9615,19.632915
61,68.18171,76.38655,14.6164465
62,90.0,73.33289,14.848068
63,66.54954,57.764904,12.0
63,81.21437,61.598564,22.0316
64,74.87882,79.68024,20.645636
65,88.41521,94.976105,22.100586
66,70.25654,81.88267,14.283138
66,78.46359,82.72241,20.2569
67,78.07956,88.90686,12.006394
68,63.82036,85.361465,19.304548
69,90.0,80.17496,12.0
69,90.0,55.06968,22.988598
70,80.6367,81.73734,12.0
71,85.94456,69.607414,14.640135
72,89.73812,65.125175,12.0
72,90.0,80.76031,15.153718
73,90.0,87.046104,12.0
74,75.756874,72.9437,13.736678
75,77.37467,49.01516,18.005714
75,90.0,91.41948,14.028588
76,90.0,96.90272,12.0
77,73.16266,80.37136,21.643381
78,81.30481,94.83743,12.0
78,90.0,81.1475,22.357733
79,90.0,46.457375,15.647264
80,69.061775,74.58851,14.851751
