Interval,Collisions,Crossings,Rewards
1,0,52,52
2,0,49,49
3,0,51,51
4,1,53,-447
5,0,52,52
6,0,49,49
7,0,54,54
8,0,67,67
9,0,65,65
10,0,69,69
11,0,56,56
12,0,44,44
13,0,48,48
14,0,43,43
15,0,53,53
16,0,49,49
17,0,52,52
18,0,53,53
19,0,57,57
20,0,54,54
21,0,53,53
22,0,48,48
23,1,63,-437
24,0,64,64
25,0,65,65
26,0,68,68
27,0,60,60
28,0,57,57
29,0,58,58
30,0,55,55
31,0,55,55
32,0,53,53
33,0,56,56
34,0,51,51
35,0,46,46
36,0,52,52
37,0,54,54
38,1,64,-436
39,0,62,62
40,0,64,64
41,2,58,-942
42,8,63,-3937
43,5,63,-2437
44,15,61,-7439
45,1,57,-443
46,0,55,55
47,0,59,59
48,0,54,54
49,0,57,57
50,0,60,60
51,0,63,63
